throttle,steer,pitch,yaw,roll,jump,boost,handbrake
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.1875,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.890625,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.390625,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.8984375,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.9296875,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.7578125,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.5703125,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.625,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.546875,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.390625,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.2109375,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.0078125,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.1015625,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.1875,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,0.0625,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.171875,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.625,0.0,0.0,0.0,0.0,1.0,0.0
0.9921875,-0.4140625,0.0,0.0,0.0,1.0,1.0,0.0
0.9921875,0.203125,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.5625,0.0,0.0,0.0,0.0,1.0,1.0
0.9921875,0.7734375,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.3046875,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.3046875,1.0,-0.756035678543388,-1.0,1.0,1.0,1.0
0.9921875,0.2734375,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.25,1.0,-1.0,0.589910099177925,1.0,1.0,1.0
0.9921875,0.2421875,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.25,0.03694975119014881,-1.0,-0.14071060332269258,1.0,1.0,1.0
0.9921875,0.25,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.34375,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.515625,0.08038965910732139,-0.47703542646431146,-0.4506605646116052,1.0,1.0,1.0
0.9921875,0.625,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.6875,0.0954535920097435,-0.6098954290261877,-0.48745807825710913,1.0,1.0,1.0
0.9921875,0.7421875,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.7578125,-0.9093612140730304,-1.0,-0.3601614575346475,1.0,1.0,1.0
0.9921875,0.796875,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.796875,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.796875,-0.9229176843674227,0.019157445227254488,-0.5956738337352598,1.0,1.0,1.0
0.9921875,0.796875,0.0,0.0,0.0,1.0,1.0,1.0
0.9921875,0.796875,-0.1718128680057144,0.4142873335678896,-0.6119396091281767,0.0,1.0,1.0
0.9921875,0.78125,0.0,0.0,0.0,0.0,1.0,1.0
0.9921875,0.7421875,0.0,0.0,0.0,0.0,1.0,1.0
0.9921875,0.6875,-0.1671047979602344,0.14905267264144267,-0.6398632195575299,0.0,1.0,1.0
0.9921875,0.4609375,0.0,0.0,0.0,0.0,1.0,1.0
0.9921875,0.0390625,0.04054693185828927,0.6341692044391521,-0.4637316761215827,0.0,1.0,-1.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,1.0,-1.0
0.9921875,0.015625,1.0,-1.0,0.08320394583871361,0.0,-1.0,-1.0
0.9921875,0.6484375,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,1.0,-1.0,-1.0,0.05410380153127719,0.0,-1.0,-1.0
0.9921875,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,0.78125,-1.0,-1.0,0.6160727877858253,0.0,-1.0,-1.0
